Label,Ch1_410nm,Ch2_435nm,Ch3_460nm,Ch4_485nm,Ch5_510nm,Ch6_535nm,Ch7_560nm,Ch8_585nm,Ch9_610nm,Ch10_645nm,Ch11_680nm,Ch12_705nm,Ch13_730nm,Ch14_760nm,Ch15_810nm,Ch16_860nm,Ch17_900nm,Ch18_940nm
PET,1558.627516258911,229.24068256129982,526.2185506704593,282.09854783587826,359.5750180997228,85.394879052321,0.0,133.04653207296658,99.30356526051374,44.38899147318367,0.0,0.0,30.235641589627757,0.0,0.0,199.12012695524763,147.94558308495496,119.73341552142111
PET,1472.493173558184,286.6861907762292,662.8384563054085,164.5367752930522,141.48524063692668,120.35850277698277,96.76008187875699,36.92755630591502,40.866310947049925,48.07872732299294,0.0,0.0,127.9850034186066,0.799389069676015,0.0,0.0,72.01903160179387,0.0
PET,1269.4415657099505,312.4975436588054,515.8774786325565,216.77109211409336,223.3162456194324,187.85468287598974,0.0,91.77821544761588,19.052416930936104,0.0,91.27313018309897,154.25269715807272,58.897613806311206,0.0,71.53372638052667,0.0,82.76700008324657,34.05769784208869
PET,1441.2967178206552,261.2940542443126,507.8048111123577,139.59094931030205,185.532605423351,0.0,144.8981786843029,65.45045438653119,74.08742205206254,33.80436884332802,0.0,146.52425373122458,0.0,0.0,17.92785485007024,0.0,0.0,0.0
PET,1211.0304748147237,279.02070106939965,509.7778938130592,266.89667387599724,231.1648531953756,39.11736167650664,104.97063366382409,26.83007106760817,182.4358946429352,171.78749868824679,144.57681095964637,0.0,64.23263877499423,40.56841858470677,0.0,28.07379598045193,0.0,296.75263358657656
PET,1534.1533968442623,187.3714856975543,700.9904871422648,140.96614125842945,343.75747905133005,96.96071808935781,0.0,0.0,146.90097793376785,91.52975061312233,0.0,35.30229254813885,0.0,0.0,33.742023245186864,22.21151095033338,84.74805663515272,71.54701166128285
PET,1285.8601116491059,277.0214682622082,476.3787525894577,339.5859077167547,334.62496406009956,54.04039267711478,102.60886808410442,358.6048295677716,0.0,0.0,0.0,0.0,40.86333411838415,0.0,0.0,0.0,166.88944869760294,0.0
PET,1265.7989270360981,336.7043576603885,439.6789956020229,187.95137882209866,484.0597478470086,206.06897528952408,0.0,35.56769410439502,0.0,0.0,0.0,0.0,26.774673372727253,147.29813868524081,0.0,0.0,0.0,92.69417259211443
PET,1474.6630272060092,330.9888445688921,313.8952265804261,261.6321432205768,283.09655375423125,0.0,137.57971236418115,8.976895117145059,0.0,82.34966971055286,0.0,0.0,103.7975061049575,172.26641994493463,0.0,231.36000699120132,78.15135298970192,88.70001679021574
PET,1268.7501766659161,378.0018909771941,536.6374114530147,262.89013285865616,197.7894274598042,0.0,0.0,0.0,0.0,0.0,92.117518768407,72.13941280913174,0.0,116.14565856930899,32.58749224281605,0.0,0.0,32.98094495236195
PET,1225.6026728499523,307.3903178183461,383.45480934398415,52.272166225539394,338.4251906036783,137.28822536508662,0.0,48.89529940150948,0.0,141.45125409812528,82.97427413640797,15.41744336251883,0.0,0.0,0.0,28.849448219405318,0.0,0.0
PET,1288.112591578966,299.5592914455285,696.6272414091734,275.14372948655296,369.0528964667461,358.58702804927,28.048004421579996,0.0,0.0,308.62706603878274,31.345460969740127,0.0,0.0,77.11790851941181,3.943688907411946,63.931750055621315,35.64303327334932,110.7907312933931
PET,1190.9693297512163,325.53147200544686,531.3009175697478,178.16249408549393,119.76816791109295,0.0,112.55362897796469,0.0,165.29732531544764,111.08946303956247,136.3438696331806,21.029088028249802,148.53640589354188,18.273001826367654,0.0,0.0,16.589142384810774,28.152771310493378
PET,1306.494027892821,285.77445420934947,499.7480503717288,281.3104515844485,219.16731839415104,0.0,30.038240578191576,0.0,54.217069117218976,105.85705545952378,28.03905662654136,0.0,0.0,164.56348164557227,53.78380339503169,120.39784496068458,0.0,46.34485384800709
PET,1196.2513539946735,19.90787360684473,562.4562681634802,245.18697841049638,153.33804963051062,0.0,0.0,12.543723708339332,126.31663889259374,153.33560674959864,21.21740790901644,95.8785913856326,0.0,8.596555484711075,0.0,157.0551011227617,65.79406319364128,22.646570137599014
PET,1287.1094181322023,243.38456272246813,517.8347970081422,220.08545669505773,281.8546938832385,21.389181187255257,0.0,0.0,3.306822154904401,0.0,0.0,0.0,41.86099575265024,4.553101636067565,0.0,0.0,50.176691728463354,0.0
PET,1341.7870020436421,248.65883339309292,734.2482241552777,220.47770183644153,263.33551794334613,6.574048394503315,39.444991403858815,2.8884946688845616,125.30427634014444,131.03977466917507,0.0,0.0,77.91057269877416,128.54769934322604,96.46073661626723,118.6724302612362,124.89117173145979,108.55980694180937
PET,1405.421637432914,260.1264708169869,565.0734608989862,295.4729656191869,347.34670631852225,0.0,0.0,238.3326896091146,51.10353104414923,0.0,96.85065765867803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PET,1574.6006375954987,169.07528910465734,509.755226037363,108.26685679752833,412.3594811039555,164.1577143936008,6.17145299678484,72.94680908267951,72.67536475874066,0.0,0.0,33.49383960232476,65.21892000881925,0.0,0.0,0.0,0.0,0.0
